All data are in 000 metric tonnes of nutrients,"Went to https://www.ifastat.org/databases/plant-nutrition then selected all countries, the years from 1986 to 2019, then for 'Which products' the 'Grant Total N', 'Grand Total P2O5' and 'Grand Total K20' were chosen. In addition the display options for 'Total N+P2O5+K2O' was selected. For Activities 'Consumption' was chosen. Then 'Show data' was pressed, and then once the data were displayed 'Download results' was pressed. The xlsx file had the second row deleted as well as the bottom rows that had extraneous information (on IFA copyright and when the data were downloaded). This was saved as a csv file. ",,
Product,Country,Year,Consumption
Total N + P2O5 + K2O,El Salvador,2016,76.6
Total N + P2O5 + K2O,El Salvador,2017,93.7
Total N + P2O5 + K2O,El Salvador,2018,73.3
Total N + P2O5 + K2O,El Salvador,2019,74.9
Total N + P2O5 + K2O,Thailand,1986,562
Total N + P2O5 + K2O,Thailand,1987,629.9
Total N + P2O5 + K2O,Thailand,1988,770.5
Total N + P2O5 + K2O,Thailand,1989,818.8
Total N + P2O5 + K2O,Thailand,1990,1043.7
Total N + P2O5 + K2O,Thailand,1991,962.1
Total N + P2O5 + K2O,Thailand,1992,1117.8
Total N + P2O5 + K2O,Thailand,1993,1455
Total N + P2O5 + K2O,Thailand,1994,1360
Total N + P2O5 + K2O,Thailand,1995,1507
Total N + P2O5 + K2O,Thailand,1996,1520
Total N + P2O5 + K2O,Thailand,1997,1481
Total N + P2O5 + K2O,Thailand,1998,1637
Total N + P2O5 + K2O,Thailand,1999,1763
Total N + P2O5 + K2O,Thailand,2000,1539.9
Total N + P2O5 + K2O,Thailand,2001,1710.3
Total N + P2O5 + K2O,Thailand,2002,1707
Total N + P2O5 + K2O,Thailand,2003,1786.3
Total N + P2O5 + K2O,Thailand,2004,1829.2
Total N + P2O5 + K2O,Thailand,2005,1747
Total N + P2O5 + K2O,Thailand,2006,1632.4
Total N + P2O5 + K2O,Thailand,2007,1711.6
Total N + P2O5 + K2O,Thailand,2008,1594.1
Total N + P2O5 + K2O,Thailand,2009,1633
Total N + P2O5 + K2O,Thailand,2010,1921.9
Total N + P2O5 + K2O,Thailand,2011,2135.9
Total N + P2O5 + K2O,Thailand,2012,2152.3
Total N + P2O5 + K2O,Thailand,2013,2508.8
Total N + P2O5 + K2O,Thailand,2014,2557.6
Total N + P2O5 + K2O,Thailand,2015,2090.3
Total N + P2O5 + K2O,Thailand,2016,2140
Total N + P2O5 + K2O,Thailand,2017,2138.8
Total N + P2O5 + K2O,Thailand,2018,2264.1
Total N + P2O5 + K2O,Thailand,2019,2282.4
Total N + P2O5 + K2O,Slovak Republic,1986,0
Total N + P2O5 + K2O,Slovak Republic,1987,0
Total N + P2O5 + K2O,Slovak Republic,1988,0
Total N + P2O5 + K2O,Slovak Republic,1989,0
Total N + P2O5 + K2O,Slovak Republic,1990,0
Total N + P2O5 + K2O,Slovak Republic,1991,0
Total N + P2O5 + K2O,Slovak Republic,1992,0
Total N + P2O5 + K2O,Slovak Republic,1993,0
Total N + P2O5 + K2O,Slovak Republic,1994,99.1
Total N + P2O5 + K2O,Slovak Republic,1995,107.5
Total N + P2O5 + K2O,Slovak Republic,1996,118.7
Total N + P2O5 + K2O,Slovak Republic,1997,107.4
Total N + P2O5 + K2O,Slovak Republic,1998,120.4
Total N + P2O5 + K2O,Slovak Republic,1999,89.1
Total N + P2O5 + K2O,Slovak Republic,2000,118.1
Total N + P2O5 + K2O,Slovak Republic,2001,122.9
Total N + P2O5 + K2O,Slovak Republic,2002,116.2
Total N + P2O5 + K2O,Slovak Republic,2003,129
Total N + P2O5 + K2O,Slovak Republic,2004,127.5
Total N + P2O5 + K2O,Slovak Republic,2005,127.1
Total N + P2O5 + K2O,Slovak Republic,2006,143.7
Total N + P2O5 + K2O,Slovak Republic,2007,156
Total N + P2O5 + K2O,Slovak Republic,2008,124
Total N + P2O5 + K2O,Slovak Republic,2009,107
Total N + P2O5 + K2O,Slovak Republic,2010,124
Total N + P2O5 + K2O,Slovak Republic,2011,143
Total N + P2O5 + K2O,Slovak Republic,2012,144
Total N + P2O5 + K2O,Slovak Republic,2013,147.3
Total N + P2O5 + K2O,Slovak Republic,2014,150.8
Total N + P2O5 + K2O,Slovak Republic,2015,170.5
Total N + P2O5 + K2O,Slovak Republic,2016,187.9
Total N + P2O5 + K2O,Slovak Republic,2017,170.4
Total N + P2O5 + K2O,Slovak Republic,2018,203.5
Total N + P2O5 + K2O,Slovak Republic,2019,177.3
Total N + P2O5 + K2O,Tajikistan,1986,0
Total N + P2O5 + K2O,Tajikistan,1987,0
Total N + P2O5 + K2O,Tajikistan,1988,0
Total N + P2O5 + K2O,Tajikistan,1989,0
Total N + P2O5 + K2O,Tajikistan,1990,108
Total N + P2O5 + K2O,Tajikistan,1991,169
Total N + P2O5 + K2O,Tajikistan,1992,128
Total N + P2O5 + K2O,Tajikistan,1993,76
Total N + P2O5 + K2O,Tajikistan,1994,70
Total N + P2O5 + K2O,Tajikistan,1995,70
Total N + P2O5 + K2O,Tajikistan,1996,62.1
Total N + P2O5 + K2O,Tajikistan,1997,51.1
Total N + P2O5 + K2O,Tajikistan,1998,36.9
Total N + P2O5 + K2O,Tajikistan,1999,10.6
Total N + P2O5 + K2O,Tajikistan,2000,16
Total N + P2O5 + K2O,Tajikistan,2001,11.5
Total N + P2O5 + K2O,Tajikistan,2002,26
Total N + P2O5 + K2O,Tajikistan,2003,23.5
Total N + P2O5 + K2O,Tajikistan,2004,21
Total N + P2O5 + K2O,Tajikistan,2005,20.4
Total N + P2O5 + K2O,Tajikistan,2006,16.1
Total N + P2O5 + K2O,Tajikistan,2007,12.9
Total N + P2O5 + K2O,Tajikistan,2008,12.3
Total N + P2O5 + K2O,Tajikistan,2009,11
Total N + P2O5 + K2O,Tajikistan,2010,11
Total N + P2O5 + K2O,Tajikistan,2011,11
Total N + P2O5 + K2O,Tajikistan,2012,4.8
Total N + P2O5 + K2O,Tajikistan,2013,5.8
Total N + P2O5 + K2O,Tajikistan,2014,12.2
Total N + P2O5 + K2O,Tajikistan,2015,11.9
Total N + P2O5 + K2O,Tajikistan,2016,9.1
Total N + P2O5 + K2O,Tajikistan,2017,58.5
Total N + P2O5 + K2O,Tajikistan,2018,55
Total N + P2O5 + K2O,Tajikistan,2019,43.1
Total N + P2O5 + K2O,Hungary,1986,1383.3
Total N + P2O5 + K2O,Hungary,1987,1372.6
Total N + P2O5 + K2O,Hungary,1988,1417.5
Total N + P2O5 + K2O,Hungary,1989,1205.8
Total N + P2O5 + K2O,Hungary,1990,678.7
Total N + P2O5 + K2O,Hungary,1991,326.1
Total N + P2O5 + K2O,Hungary,1992,189
Total N + P2O5 + K2O,Hungary,1993,292.6
Total N + P2O5 + K2O,Hungary,1994,313.6
Total N + P2O5 + K2O,Hungary,1995,367.9
Total N + P2O5 + K2O,Hungary,1996,454.8
Total N + P2O5 + K2O,Hungary,1997,427.1
Total N + P2O5 + K2O,Hungary,1998,370.6
Total N + P2O5 + K2O,Hungary,1999,432.6
Total N + P2O5 + K2O,Hungary,2000,417
Total N + P2O5 + K2O,Hungary,2001,435.9
Total N + P2O5 + K2O,Hungary,2002,468
Total N + P2O5 + K2O,Hungary,2003,472
Total N + P2O5 + K2O,Hungary,2004,498.1
Total N + P2O5 + K2O,Hungary,2005,466.9
Total N + P2O5 + K2O,Hungary,2006,488.5
Total N + P2O5 + K2O,Hungary,2007,471
Total N + P2O5 + K2O,Hungary,2008,305.4
Total N + P2O5 + K2O,Hungary,2009,320
Total N + P2O5 + K2O,Hungary,2010,349.4
Total N + P2O5 + K2O,Hungary,2011,404
Total N + P2O5 + K2O,Hungary,2012,452
Total N + P2O5 + K2O,Hungary,2013,461
Total N + P2O5 + K2O,Hungary,2014,481
Total N + P2O5 + K2O,Hungary,2015,468.5
Total N + P2O5 + K2O,Hungary,2016,490.6
Total N + P2O5 + K2O,Hungary,2017,552
Total N + P2O5 + K2O,Hungary,2018,567.7
Total N + P2O5 + K2O,Hungary,2019,570.9
Total N + P2O5 + K2O,Sweden,1986,405.5
Total N + P2O5 + K2O,Sweden,1987,400.7
Total N + P2O5 + K2O,Sweden,1988,365
Total N + P2O5 + K2O,Sweden,1989,367.5
Total N + P2O5 + K2O,Sweden,1990,328
Total N + P2O5 + K2O,Sweden,1991,292
Total N + P2O5 + K2O,Sweden,1992,312
Total N + P2O5 + K2O,Sweden,1993,324
Total N + P2O5 + K2O,Sweden,1994,323
Total N + P2O5 + K2O,Sweden,1995,297
Total N + P2O5 + K2O,Sweden,1996,312
Total N + P2O5 + K2O,Sweden,1997,311
Total N + P2O5 + K2O,Sweden,1998,294
Total N + P2O5 + K2O,Sweden,1999,290
Total N + P2O5 + K2O,Sweden,2000,278
Total N + P2O5 + K2O,Sweden,2001,274
Total N + P2O5 + K2O,Sweden,2002,274
Total N + P2O5 + K2O,Sweden,2003,261
Total N + P2O5 + K2O,Sweden,2004,240
Total N + P2O5 + K2O,Sweden,2005,237
Total N + P2O5 + K2O,Sweden,2006,243
Total N + P2O5 + K2O,Sweden,2007,269
Total N + P2O5 + K2O,Sweden,2008,208
Total N + P2O5 + K2O,Sweden,2009,221.1
Total N + P2O5 + K2O,Sweden,2010,226
Total N + P2O5 + K2O,Sweden,2011,213.1
Total N + P2O5 + K2O,Sweden,2012,217
Total N + P2O5 + K2O,Sweden,2013,218
Total N + P2O5 + K2O,Sweden,2014,244.3
Total N + P2O5 + K2O,Sweden,2015,254.4
Total N + P2O5 + K2O,Sweden,2016,274.1
Total N + P2O5 + K2O,Sweden,2017,261.4
Total N + P2O5 + K2O,Sweden,2018,245
Total N + P2O5 + K2O,Sweden,2019,257.7
Total N + P2O5 + K2O,Afghanistan,1986,67.1
Total N + P2O5 + K2O,Afghanistan,1987,79
Total N + P2O5 + K2O,Afghanistan,1988,55.7
Total N + P2O5 + K2O,Afghanistan,1989,55.6
Total N + P2O5 + K2O,Afghanistan,1990,44.5
Total N + P2O5 + K2O,Afghanistan,1991,48.6
Total N + P2O5 + K2O,Afghanistan,1992,45.8
Total N + P2O5 + K2O,Afghanistan,1993,40
Total N + P2O5 + K2O,Afghanistan,1994,0
Total N + P2O5 + K2O,Afghanistan,1995,0
Total N + P2O5 + K2O,Afghanistan,1996,5
Total N + P2O5 + K2O,Afghanistan,1997,5
Total N + P2O5 + K2O,Afghanistan,1998,5.5
Total N + P2O5 + K2O,Afghanistan,1999,5
Total N + P2O5 + K2O,Afghanistan,2000,5
Total N + P2O5 + K2O,Afghanistan,2001,28.1
Total N + P2O5 + K2O,Afghanistan,2002,25.8
Total N + P2O5 + K2O,Afghanistan,2003,28.4
Total N + P2O5 + K2O,Afghanistan,2004,31.4
Total N + P2O5 + K2O,Afghanistan,2005,32.4
Total N + P2O5 + K2O,Afghanistan,2006,41.1
Total N + P2O5 + K2O,Afghanistan,2007,45.2
Total N + P2O5 + K2O,Afghanistan,2008,49.7
Total N + P2O5 + K2O,Afghanistan,2009,49.7
Total N + P2O5 + K2O,Afghanistan,2010,49.7
Total N + P2O5 + K2O,Afghanistan,2011,54
Total N + P2O5 + K2O,Afghanistan,2012,41.8
Total N + P2O5 + K2O,Afghanistan,2013,38.5
Total N + P2O5 + K2O,Afghanistan,2014,59.2
Total N + P2O5 + K2O,Afghanistan,2015,88.8
Total N + P2O5 + K2O,Afghanistan,2016,121.4
Total N + P2O5 + K2O,Afghanistan,2017,231.6
Total N + P2O5 + K2O,Afghanistan,2018,127.7
Total N + P2O5 + K2O,Afghanistan,2019,129.8
Total N + P2O5 + K2O,Dominican Republic,1986,58
Total N + P2O5 + K2O,Dominican Republic,1987,72.8
Total N + P2O5 + K2O,Dominican Republic,1988,62.9
Total N + P2O5 + K2O,Dominican Republic,1989,79.9
Total N + P2O5 + K2O,Dominican Republic,1990,92.3
Total N + P2O5 + K2O,Dominican Republic,1991,94.7
Total N + P2O5 + K2O,Dominican Republic,1992,83.9
Total N + P2O5 + K2O,Dominican Republic,1993,78.2
Total N + P2O5 + K2O,Dominican Republic,1994,90.7
Total N + P2O5 + K2O,Dominican Republic,1995,94
Total N + P2O5 + K2O,Dominican Republic,1996,91.9
Total N + P2O5 + K2O,Dominican Republic,1997,108.9
Total N + P2O5 + K2O,Dominican Republic,1998,97.8
Total N + P2O5 + K2O,Dominican Republic,1999,93.7
Total N + P2O5 + K2O,Dominican Republic,2000,86.6
Total N + P2O5 + K2O,Dominican Republic,2001,97.6
Total N + P2O5 + K2O,Dominican Republic,2002,103.7
Total N + P2O5 + K2O,Dominican Republic,2003,91.4
Total N + P2O5 + K2O,Dominican Republic,2004,93.7
Total N + P2O5 + K2O,Dominican Republic,2005,78
Total N + P2O5 + K2O,Dominican Republic,2006,99.3
Total N + P2O5 + K2O,Dominican Republic,2007,91.9
Total N + P2O5 + K2O,Dominican Republic,2008,94.2
Total N + P2O5 + K2O,Dominican Republic,2009,101.9
Total N + P2O5 + K2O,Dominican Republic,2010,118.2
Total N + P2O5 + K2O,Dominican Republic,2011,111.1
Total N + P2O5 + K2O,Dominican Republic,2012,99.2
Total N + P2O5 + K2O,Dominican Republic,2013,89.9
Total N + P2O5 + K2O,Dominican Republic,2014,109.9
Total N + P2O5 + K2O,Dominican Republic,2015,102.4
Total N + P2O5 + K2O,Dominican Republic,2016,130.4
Total N + P2O5 + K2O,Dominican Republic,2017,122.8
Total N + P2O5 + K2O,Dominican Republic,2018,160.2
Total N + P2O5 + K2O,Dominican Republic,2019,124.1
Total N + P2O5 + K2O,Yugoslavia (former),1986,1043
Total N + P2O5 + K2O,Yugoslavia (former),1987,1031.4
Total N + P2O5 + K2O,Yugoslavia (former),1988,1015.3
Total N + P2O5 + K2O,Yugoslavia (former),1989,854.7
Total N + P2O5 + K2O,Yugoslavia (former),1990,827.8
Total N + P2O5 + K2O,Yugoslavia (former),1991,581.3
Total N + P2O5 + K2O,Yugoslavia (former),1992,487.8
Total N + P2O5 + K2O,Yugoslavia (former),1993,361.2
Total N + P2O5 + K2O,Yugoslavia (former),1994,0
Total N + P2O5 + K2O,Yugoslavia (former),1995,0
Total N + P2O5 + K2O,Yugoslavia (former),1996,0
Total N + P2O5 + K2O,Yugoslavia (former),1997,0
Total N + P2O5 + K2O,Yugoslavia (former),1998,0
Total N + P2O5 + K2O,Yugoslavia (former),1999,0
Total N + P2O5 + K2O,Yugoslavia (former),2000,0
Total N + P2O5 + K2O,Yugoslavia (former),2001,0
Total N + P2O5 + K2O,Yugoslavia (former),2002,0
Total N + P2O5 + K2O,Yugoslavia (former),2003,0
Total N + P2O5 + K2O,Yugoslavia (former),2004,0
Total N + P2O5 + K2O,Yugoslavia (former),2005,0
Total N + P2O5 + K2O,Yugoslavia (former),2006,0
Total N + P2O5 + K2O,Yugoslavia (former),2007,0
Total N + P2O5 + K2O,Yugoslavia (former),2008,0
Total N + P2O5 + K2O,Yugoslavia (former),2009,0
Total N + P2O5 + K2O,Yugoslavia (former),2010,0
Total N + P2O5 + K2O,Yugoslavia (former),2011,0
Total N + P2O5 + K2O,Yugoslavia (former),2012,0
Total N + P2O5 + K2O,Yugoslavia (former),2013,0
Total N + P2O5 + K2O,Yugoslavia (former),2014,0
Total N + P2O5 + K2O,Yugoslavia (former),2015,0
Total N + P2O5 + K2O,Yugoslavia (former),2016,0
Total N + P2O5 + K2O,Yugoslavia (former),2017,0
Total N + P2O5 + K2O,Yugoslavia (former),2018,0
Total N + P2O5 + K2O,Yugoslavia (former),2019,0
Total N + P2O5 + K2O,Guatemala,1986,123
Total N + P2O5 + K2O,Guatemala,1987,107.4
Total N + P2O5 + K2O,Guatemala,1988,107.3
Total N + P2O5 + K2O,Guatemala,1989,129.4
Total N + P2O5 + K2O,Guatemala,1990,117
Total N + P2O5 + K2O,Guatemala,1991,143.2
Total N + P2O5 + K2O,Guatemala,1992,157.9
Total N + P2O5 + K2O,Guatemala,1993,172
Total N + P2O5 + K2O,Guatemala,1994,169
Total N + P2O5 + K2O,Guatemala,1995,186
Total N + P2O5 + K2O,Guatemala,1996,183
Total N + P2O5 + K2O,Guatemala,1997,209.3
Total N + P2O5 + K2O,Guatemala,1998,172.6
Total N + P2O5 + K2O,Guatemala,1999,196.5
Total N + P2O5 + K2O,Guatemala,2000,211.5
Total N + P2O5 + K2O,Guatemala,2001,207.8
Total N + P2O5 + K2O,Guatemala,2002,188.6
Total N + P2O5 + K2O,Guatemala,2003,164.8
Total N + P2O5 + K2O,Guatemala,2004,215
Total N + P2O5 + K2O,Guatemala,2005,194.9
Total N + P2O5 + K2O,Guatemala,2006,232.8
Total N + P2O5 + K2O,Guatemala,2007,195.4
Total N + P2O5 + K2O,Guatemala,2008,205.5
Total N + P2O5 + K2O,Guatemala,2009,161.9
Total N + P2O5 + K2O,Guatemala,2010,242.5
Total N + P2O5 + K2O,Guatemala,2011,228.1
Total N + P2O5 + K2O,Guatemala,2012,248.9
Total N + P2O5 + K2O,Guatemala,2013,334.2
Total N + P2O5 + K2O,Guatemala,2014,373.8
Total N + P2O5 + K2O,Guatemala,2015,298.6
Total N + P2O5 + K2O,Guatemala,2016,268.4
Total N + P2O5 + K2O,Guatemala,2017,354.2
Total N + P2O5 + K2O,Guatemala,2018,339.9
Total N + P2O5 + K2O,Guatemala,2019,319.8
Total N + P2O5 + K2O,Algeria,1986,271.9
Total N + P2O5 + K2O,Algeria,1987,258.6
Total N + P2O5 + K2O,Algeria,1988,146.5
Total N + P2O5 + K2O,Algeria,1989,117
Total N + P2O5 + K2O,Algeria,1990,127
Total N + P2O5 + K2O,Algeria,1991,91.5
Total N + P2O5 + K2O,Algeria,1992,96.8
Total N + P2O5 + K2O,Algeria,1993,130.9
Total N + P2O5 + K2O,Algeria,1994,119.3
Total N + P2O5 + K2O,Algeria,1995,46.4
Total N + P2O5 + K2O,Algeria,1996,38
Total N + P2O5 + K2O,Algeria,1997,97
Total N + P2O5 + K2O,Algeria,1998,108
Total N + P2O5 + K2O,Algeria,1999,93
Total N + P2O5 + K2O,Algeria,2000,92.3
Total N + P2O5 + K2O,Algeria,2001,95.6
Total N + P2O5 + K2O,Algeria,2002,98
Total N + P2O5 + K2O,Algeria,2003,98
Total N + P2O5 + K2O,Algeria,2004,84
Total N + P2O5 + K2O,Algeria,2005,90.5
Total N + P2O5 + K2O,Algeria,2006,81.7
Total N + P2O5 + K2O,Algeria,2007,76
Total N + P2O5 + K2O,Algeria,2008,39
Total N + P2O5 + K2O,Algeria,2009,107
Total N + P2O5 + K2O,Algeria,2010,118.5
Total N + P2O5 + K2O,Algeria,2011,118.3
Total N + P2O5 + K2O,Algeria,2012,160.1
Total N + P2O5 + K2O,Algeria,2013,185.8
Total N + P2O5 + K2O,Algeria,2014,239.6
Total N + P2O5 + K2O,Algeria,2015,242.5
Total N + P2O5 + K2O,Algeria,2016,203.1
Total N + P2O5 + K2O,Algeria,2017,183.3
Total N + P2O5 + K2O,Algeria,2018,252.4
Total N + P2O5 + K2O,Algeria,2019,247.6
Total N + P2O5 + K2O,Netherlands,1986,698.7
Total N + P2O5 + K2O,Netherlands,1987,635.4
Total N + P2O5 + K2O,Netherlands,1988,620.2
Total N + P2O5 + K2O,Netherlands,1989,590.1
Total N + P2O5 + K2O,Netherlands,1990,560.6
Total N + P2O5 + K2O,Netherlands,1991,561
Total N + P2O5 + K2O,Netherlands,1992,544
Total N + P2O5 + K2O,Netherlands,1993,518
Total N + P2O5 + K2O,Netherlands,1994,534
Total N + P2O5 + K2O,Netherlands,1995,535
Total N + P2O5 + K2O,Netherlands,1996,527
Total N + P2O5 + K2O,Netherlands,1997,508
Total N + P2O5 + K2O,Netherlands,1998,485
Total N + P2O5 + K2O,Netherlands,1999,471
Total N + P2O5 + K2O,Netherlands,2000,418
Total N + P2O5 + K2O,Netherlands,2001,416
Total N + P2O5 + K2O,Netherlands,2002,406
Total N + P2O5 + K2O,Netherlands,2003,394
Total N + P2O5 + K2O,Netherlands,2004,359
Total N + P2O5 + K2O,Netherlands,2005,348
Total N + P2O5 + K2O,Netherlands,2006,350
Total N + P2O5 + K2O,Netherlands,2007,357
Total N + P2O5 + K2O,Netherlands,2008,316
Total N + P2O5 + K2O,Netherlands,2009,311
Total N + P2O5 + K2O,Netherlands,2010,303
Total N + P2O5 + K2O,Netherlands,2011,255
Total N + P2O5 + K2O,Netherlands,2012,257
Total N + P2O5 + K2O,Netherlands,2013,268.4
Total N + P2O5 + K2O,Netherlands,2014,251
Total N + P2O5 + K2O,Netherlands,2015,273
Total N + P2O5 + K2O,Netherlands,2016,301.7
Total N + P2O5 + K2O,Netherlands,2017,254.9
Total N + P2O5 + K2O,Netherlands,2018,231.3
Total N + P2O5 + K2O,Netherlands,2019,249.2
Total N + P2O5 + K2O,Turkey,1986,1519.1
Total N + P2O5 + K2O,Turkey,1987,1777.8
Total N + P2O5 + K2O,Turkey,1988,1613.9
Total N + P2O5 + K2O,Turkey,1989,1798.2
Total N + P2O5 + K2O,Turkey,1990,1887.9
Total N + P2O5 + K2O,Turkey,1991,1769.3
Total N + P2O5 + K2O,Turkey,1992,1927.6
Total N + P2O5 + K2O,Turkey,1993,2207
Total N + P2O5 + K2O,Turkey,1994,1507.3
Total N + P2O5 + K2O,Turkey,1995,1700.4
Total N + P2O5 + K2O,Turkey,1996,1799.2
Total N + P2O5 + K2O,Turkey,1997,1825.7
Total N + P2O5 + K2O,Turkey,1998,2180.7
Total N + P2O5 + K2O,Turkey,1999,2202.5
Total N + P2O5 + K2O,Turkey,2000,1986.7
Total N + P2O5 + K2O,Turkey,2001,1670.8
Total N + P2O5 + K2O,Turkey,2002,1752.8
Total N + P2O5 + K2O,Turkey,2003,1972
Total N + P2O5 + K2O,Turkey,2004,2044.5
Total N + P2O5 + K2O,Turkey,2005,2067.6
Total N + P2O5 + K2O,Turkey,2006,2113.7
Total N + P2O5 + K2O,Turkey,2007,1981.5
Total N + P2O5 + K2O,Turkey,2008,1550.5
Total N + P2O5 + K2O,Turkey,2009,2053.6
Total N + P2O5 + K2O,Turkey,2010,1941.7
Total N + P2O5 + K2O,Turkey,2011,1847.8
Total N + P2O5 + K2O,Turkey,2012,2065.4
Total N + P2O5 + K2O,Turkey,2013,2312.9
Total N + P2O5 + K2O,Turkey,2014,2180.2
Total N + P2O5 + K2O,Turkey,2015,2203.2
Total N + P2O5 + K2O,Turkey,2016,2807.1
Total N + P2O5 + K2O,Turkey,2017,2665.9
Total N + P2O5 + K2O,Turkey,2018,2184.2
Total N + P2O5 + K2O,Turkey,2019,2480.8
Total N + P2O5 + K2O,Albania,1986,96.3
Total N + P2O5 + K2O,Albania,1987,95
Total N + P2O5 + K2O,Albania,1988,96.5
Total N + P2O5 + K2O,Albania,1989,106.5
Total N + P2O5 + K2O,Albania,1990,102
Total N + P2O5 + K2O,Albania,1991,31.3
Total N + P2O5 + K2O,Albania,1992,23.5
Total N + P2O5 + K2O,Albania,1993,17.9
Total N + P2O5 + K2O,Albania,1994,14.5
Total N + P2O5 + K2O,Albania,1995,11
Total N + P2O5 + K2O,Albania,1996,6.5
Total N + P2O5 + K2O,Albania,1997,5.2
Total N + P2O5 + K2O,Albania,1998,25
Total N + P2O5 + K2O,Albania,1999,10.6
Total N + P2O5 + K2O,Albania,2000,13.1
Total N + P2O5 + K2O,Albania,2001,17.3
Total N + P2O5 + K2O,Albania,2002,28.9
Total N + P2O5 + K2O,Albania,2003,20.8
Total N + P2O5 + K2O,Albania,2004,36.8
Total N + P2O5 + K2O,Albania,2005,13.4
Total N + P2O5 + K2O,Albania,2006,24.2
Total N + P2O5 + K2O,Albania,2007,21
Total N + P2O5 + K2O,Albania,2008,14
Total N + P2O5 + K2O,Albania,2009,16.9
Total N + P2O5 + K2O,Albania,2010,16.4
Total N + P2O5 + K2O,Albania,2011,21.9
Total N + P2O5 + K2O,Albania,2012,34.6
Total N + P2O5 + K2O,Albania,2013,23.6
Total N + P2O5 + K2O,Albania,2014,37.5
Total N + P2O5 + K2O,Albania,2015,39.7
Total N + P2O5 + K2O,Albania,2016,42.3
Total N + P2O5 + K2O,Albania,2017,45.1
Total N + P2O5 + K2O,Albania,2018,40.3
Total N + P2O5 + K2O,Albania,2019,61.5
Total N + P2O5 + K2O,Cyprus,1986,20
Total N + P2O5 + K2O,Cyprus,1987,20.6
Total N + P2O5 + K2O,Cyprus,1988,21.8
Total N + P2O5 + K2O,Cyprus,1989,22.9
Total N + P2O5 + K2O,Cyprus,1990,22.6
Total N + P2O5 + K2O,Cyprus,1991,22.2
Total N + P2O5 + K2O,Cyprus,1992,28.4
Total N + P2O5 + K2O,Cyprus,1993,26.2
Total N + P2O5 + K2O,Cyprus,1994,26.3
Total N + P2O5 + K2O,Cyprus,1995,24.8
Total N + P2O5 + K2O,Cyprus,1996,25.4
Total N + P2O5 + K2O,Cyprus,1997,20.4
Total N + P2O5 + K2O,Cyprus,1998,20.3
Total N + P2O5 + K2O,Cyprus,1999,20.3
Total N + P2O5 + K2O,Cyprus,2000,14.3
Total N + P2O5 + K2O,Cyprus,2001,14.6
Total N + P2O5 + K2O,Cyprus,2002,15.4
Total N + P2O5 + K2O,Cyprus,2003,16.3
Total N + P2O5 + K2O,Cyprus,2004,15.4
Total N + P2O5 + K2O,Cyprus,2005,14.9
Total N + P2O5 + K2O,Cyprus,2006,16.7
Total N + P2O5 + K2O,Cyprus,2007,15.5
Total N + P2O5 + K2O,Cyprus,2008,14.3
Total N + P2O5 + K2O,Cyprus,2009,10.1
Total N + P2O5 + K2O,Cyprus,2010,8.2
Total N + P2O5 + K2O,Cyprus,2011,8
Total N + P2O5 + K2O,Cyprus,2012,8.1
Total N + P2O5 + K2O,Cyprus,2013,13.5
Total N + P2O5 + K2O,Cyprus,2014,13.3
Total N + P2O5 + K2O,Cyprus,2015,12.6
Total N + P2O5 + K2O,Cyprus,2016,16
Total N + P2O5 + K2O,Cyprus,2017,12.9
Total N + P2O5 + K2O,Cyprus,2018,14.1
Total N + P2O5 + K2O,Cyprus,2019,17.9
Total N + P2O5 + K2O,Philippines,1986,389.8
Total N + P2O5 + K2O,Philippines,1987,485.8
Total N + P2O5 + K2O,Philippines,1988,504.4
Total N + P2O5 + K2O,Philippines,1989,533.9
Total N + P2O5 + K2O,Philippines,1990,586.9
Total N + P2O5 + K2O,Philippines,1991,447.8
Total N + P2O5 + K2O,Philippines,1992,505.4
Total N + P2O5 + K2O,Philippines,1993,565.2
Total N + P2O5 + K2O,Philippines,1994,600.2
Total N + P2O5 + K2O,Philippines,1995,598.5
Total N + P2O5 + K2O,Philippines,1996,736.8
Total N + P2O5 + K2O,Philippines,1997,809.1
Total N + P2O5 + K2O,Philippines,1998,628.4
Total N + P2O5 + K2O,Philippines,1999,743.7
Total N + P2O5 + K2O,Philippines,2000,734.5
Total N + P2O5 + K2O,Philippines,2001,785.9
Total N + P2O5 + K2O,Philippines,2002,723.7
Total N + P2O5 + K2O,Philippines,2003,745.2
Total N + P2O5 + K2O,Philippines,2004,760.2
Total N + P2O5 + K2O,Philippines,2005,704.2
Total N + P2O5 + K2O,Philippines,2006,698.2
Total N + P2O5 + K2O,Philippines,2007,732.8
Total N + P2O5 + K2O,Philippines,2008,671.1
Total N + P2O5 + K2O,Philippines,2009,645.5
Total N + P2O5 + K2O,Philippines,2010,614.9
Total N + P2O5 + K2O,Philippines,2011,619.2
Total N + P2O5 + K2O,Philippines,2012,660.4
Total N + P2O5 + K2O,Philippines,2013,857.8
Total N + P2O5 + K2O,Philippines,2014,931.1
Total N + P2O5 + K2O,Philippines,2015,860.9
Total N + P2O5 + K2O,Philippines,2016,931.4
Total N + P2O5 + K2O,Philippines,2017,1020.4
Total N + P2O5 + K2O,Philippines,2018,1034.5
Total N + P2O5 + K2O,Philippines,2019,992.1
Total N + P2O5 + K2O,Canada,1986,2188.4
Total N + P2O5 + K2O,Canada,1987,2221
